system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
0000cc436276923b2291,ENF,39,36,30,30,33,31,US-Me2,"{""type"":""Point"",""coordinates"":[-121.5574,44.4523]}"
00009b5afdd44d544605,ENF,39,36,31,32,34,32,US-Me5,"{""type"":""Point"",""coordinates"":[-121.56680000000001,44.4372]}"
000090ff4e3bc0cc1371,ENF,31,31,31,32,30,31,US-Me3,"{""type"":""Point"",""coordinates"":[-121.60780000000007,44.3154]}"
0000b1941e92645a7190,ENF,31,30,28,29,28,29,US-Me6,"{""type"":""Point"",""coordinates"":[-121.60780000000007,44.323299999999996]}"
00007a89d43998a80188,WET,41,38,31,31,34,32,RU-Che,"{""type"":""Point"",""coordinates"":[161.34139999999996,68.613]}"
000090adc2855accbaac,OSH,39,37,32,32,35,33,RU-Cok,"{""type"":""Point"",""coordinates"":[147.4943,70.8291]}"
0000d2b1f84641370fcb,GRA,45,46,47,47,51,47,RU-Tks,"{""type"":""Point"",""coordinates"":[128.8878,71.5943]}"
0000e4be63405d7c775c,GRA,36,31,27,27,29,27,RU-Sam,"{""type"":""Point"",""coordinates"":[126.4978,72.3733]}"
0000eca2159f7eb9994f,DNF,41,38,33,34,36,34,RU-SkP,"{""type"":""Point"",""coordinates"":[129.168,62.254999999999995]}"
0000b04a29e23c18b9c6,GRA,33,31,27,27,28,27,RU-Ha1,"{""type"":""Point"",""coordinates"":[90.0022,54.725200000000015]}"
000002aee1e1303d4d79,GRA,25,25,24,24,24,24,CN-Du3,"{""type"":""Point"",""coordinates"":[116.28090000000005,42.0551]}"
000044409fccd4fcd0de,GRA,26,25,25,24,25,25,CN-Du2,"{""type"":""Point"",""coordinates"":[116.28360000000004,42.0467]}"
00001db64f97bf4c59d5,MF,33,32,25,24,29,26,CN-Cha,"{""type"":""Point"",""coordinates"":[128.0958,42.4025]}"
0000200a68a43e48cf9e,GRA,27,27,25,25,27,25,CN-Cng,"{""type"":""Point"",""coordinates"":[123.50919999999999,44.5934]}"
00009583467828c3d1f3,DBF,50,49,41,40,47,45,JP-MBF,"{""type"":""Point"",""coordinates"":[142.3186,44.3869]}"
0000c35b3591338403d8,MF,34,33,32,32,33,33,JP-SMF,"{""type"":""Point"",""coordinates"":[137.0788,35.26169999999999]}"
000083ef7e50a5f2996a,EBF,41,41,37,37,41,40,AU-Rob,"{""type"":""Point"",""coordinates"":[145.6301,-17.117499999999993]}"
0000c7131a6e1c7dc052,SAV,21,21,24,23,22,23,AU-Cpr,"{""type"":""Point"",""coordinates"":[140.5891,-34.0021]}"
000084d60abea8a3c946,DBF,24,24,25,25,24,25,AU-Lox,"{""type"":""Point"",""coordinates"":[140.6551,-34.4704]}"
00005d1ac8d484892293,EBF,42,41,37,37,40,38,AU-Wom,"{""type"":""Point"",""coordinates"":[144.0944,-37.4222]}"
00000ac82d766475c115,EBF,38,37,30,30,35,34,AU-Wac,"{""type"":""Point"",""coordinates"":[145.1878,-37.4259]}"
00001b398b6896bf1311,EBF,28,28,29,29,28,29,AU-Whr,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}"
0000aa12643ab376d045,EBF,30,30,29,29,30,29,AU-Cum,"{""type"":""Point"",""coordinates"":[150.7225,-33.6133]}"
0000531579d743d37f22,GRA,19,19,21,22,21,21,AU-Ync,"{""type"":""Point"",""coordinates"":[146.2907,-34.9893]}"
000096c2a3b630cbc166,EBF,48,48,42,42,47,44,AU-Tum,"{""type"":""Point"",""coordinates"":[148.1517,-35.65659999999998]}"
0000fef440029bfce5ee,GRA,26,25,26,27,25,26,AU-Rig,"{""type"":""Point"",""coordinates"":[145.57589999999996,-36.6499]}"
00009753883915d787c9,GRA,28,28,29,30,28,29,AU-Emr,"{""type"":""Point"",""coordinates"":[148.4746,-23.8587]}"
00007f2e43d8df237e7b,WET,31,30,28,28,29,29,US-Myb,"{""type"":""Point"",""coordinates"":[-121.76509999999999,38.0498]}"
0000a0f700b7b4e19582,CRO,25,25,25,25,25,25,US-Twt,"{""type"":""Point"",""coordinates"":[-121.65300000000002,38.1087]}"
000025378c1f17e380a0,CRO,26,26,27,26,26,27,US-Tw3,"{""type"":""Point"",""coordinates"":[-121.6467,38.1159]}"
0000eacddb8dad28d0a4,CRO,29,29,29,28,29,30,US-Tw2,"{""type"":""Point"",""coordinates"":[-121.64329999999998,38.1047]}"
000035be9942c6c4eb39,WET,27,26,28,27,27,27,US-Tw1,"{""type"":""Point"",""coordinates"":[-121.64690000000002,38.1074]}"
00004700406bc4231d0e,WET,28,28,28,28,28,28,US-Tw4,"{""type"":""Point"",""coordinates"":[-121.6414,38.103]}"
0000981f289943bc12db,CRO,18,18,18,18,19,18,US-Lin,"{""type"":""Point"",""coordinates"":[-119.84230000000001,36.3566]}"
000030828eadb305ce97,ENF,36,35,32,32,34,32,US-Blo,"{""type"":""Point"",""coordinates"":[-120.6328,38.8953]}"
0000b24631442ade5b34,GRA,24,24,25,25,24,25,US-Var,"{""type"":""Point"",""coordinates"":[-120.9507,38.41330000000001]}"
0000284eb6edc818db7b,WSA,22,22,24,23,23,24,US-Ton,"{""type"":""Point"",""coordinates"":[-120.96600000000002,38.431599999999996]}"
0000661d9dc11b3552e4,OSH,17,17,18,17,18,18,US-SRC,"{""type"":""Point"",""coordinates"":[-110.8395,31.908300000000008]}"
0000dc659a4bc464d935,WSA,23,22,23,23,23,23,US-SRM,"{""type"":""Point"",""coordinates"":[-110.86610000000002,31.8214]}"
00004823a2bfc7474b1b,GRA,21,21,20,20,20,20,US-SRG,"{""type"":""Point"",""coordinates"":[-110.82770000000002,31.789400000000008]}"
00002f1105c7a6945a0d,OSH,19,19,18,18,20,19,US-Whs,"{""type"":""Point"",""coordinates"":[-110.05220000000001,31.74380000000001]}"
00008100a44fd2e75363,GRA,20,21,16,17,20,17,US-Wkg,"{""type"":""Point"",""coordinates"":[-109.94190000000003,31.7365]}"
00000f7de506e779ede0,GRA,19,19,20,20,20,20,US-Cop,"{""type"":""Point"",""coordinates"":[-109.39000000000003,38.08999999999999]}"
0000793ce8039486bd6d,OSH,20,20,20,21,20,20,US-Sta,"{""type"":""Point"",""coordinates"":[-106.8024,41.3966]}"
00007869346c88fae64b,ENF,29,26,22,25,24,23,US-GBT,"{""type"":""Point"",""coordinates"":[-106.2397,41.365800000000014]}"
00005822fb12f49c74d1,ENF,28,25,19,22,23,21,US-GLE,"{""type"":""Point"",""coordinates"":[-106.23989999999999,41.3665]}"
000030032be5a1ed12e6,ENF,24,18,16,16,17,16,US-NR1,"{""type"":""Point"",""coordinates"":[-105.54640000000002,40.032900000000005]}"
0000f7d98fc0c4040ac9,CRO,26,25,27,27,26,26,US-Ne1,"{""type"":""Point"",""coordinates"":[-96.4766,41.1651]}"
0000e10679afad3f4761,CRO,25,25,26,26,27,26,US-Ne2,"{""type"":""Point"",""coordinates"":[-96.47010000000002,41.16490000000001]}"
00007c0ee3f8ddbf869d,CRO,26,26,27,27,27,27,US-Ne3,"{""type"":""Point"",""coordinates"":[-96.4397,41.17969999999999]}"
0000e86f13c0ce8f2dc3,GRA,15,15,16,17,16,17,US-AR2,"{""type"":""Point"",""coordinates"":[-99.59750000000001,36.6358]}"
000080af4f8f907cc6f9,GRA,19,18,19,19,19,20,US-AR1,"{""type"":""Point"",""coordinates"":[-99.42000000000003,36.42670000000001]}"
00001dd83bec340e887b,GRA,21,21,19,18,21,21,US-LWW,"{""type"":""Point"",""coordinates"":[-97.97889999999998,34.96040000000001]}"
00000cff3a4a9ccca1c8,GRA,18,18,19,19,18,19,US-ARb,"{""type"":""Point"",""coordinates"":[-98.0402,35.5497]}"
0000fb674a3a95f35a1b,GRA,19,19,20,20,19,20,US-ARc,"{""type"":""Point"",""coordinates"":[-98.04000000000002,35.5465]}"
0000fb74a73853e47faa,CRO,20,20,21,21,21,21,US-ARM,"{""type"":""Point"",""coordinates"":[-97.48880000000001,36.6058]}"
000056102756d31d1129,GRA,25,25,23,22,25,25,US-IB2,"{""type"":""Point"",""coordinates"":[-88.24099999999999,41.8406]}"
00002835054df40641d7,ENF,26,24,22,22,23,23,CA-TP4,"{""type"":""Point"",""coordinates"":[-80.3574,42.71020000000001]}"
00003588e2f23330ad38,ENF,24,22,19,20,21,20,CA-TP3,"{""type"":""Point"",""coordinates"":[-80.3483,42.7068]}"
0000f61b86d516990066,ENF,23,21,18,18,20,20,CA-TP2,"{""type"":""Point"",""coordinates"":[-80.4588,42.7744]}"
