system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
0000423faf8b64bcda03,ENF,63,63,69,70,65,68,FR-LBr,"{""type"":""Point"",""coordinates"":[-0.7693,44.7171]}"
0000edab0876201f3e3f,OSH,73,73,75,76,73,74,ES-LJu,"{""type"":""Point"",""coordinates"":[-2.7521,36.9266]}"
0000f965e94f3e72cbcc,OSH,64,64,68,68,64,67,ES-LgS,"{""type"":""Point"",""coordinates"":[-2.9657999999999993,37.0979]}"
00004d45dd5968d46d0d,OSH,65,65,69,70,66,68,ES-Ln2,"{""type"":""Point"",""coordinates"":[-3.4758000000000004,36.9695]}"
0000d3126d0ea0ea999d,OSH,78,78,80,80,79,80,ES-Amo,"{""type"":""Point"",""coordinates"":[-2.252299999999999,36.8336]}"
0000c3f18f1f84b28b00,SAV,56,56,56,58,55,56,SN-Dhr,"{""type"":""Point"",""coordinates"":[-15.432200000000007,15.4028]}"
000072e75b3e5ab0e431,EBF,52,52,50,50,51,51,GH-Ank,"{""type"":""Point"",""coordinates"":[-2.694200000000001,5.2684999999999995]}"
0000a080247e09febee8,EBF,69,68,69,69,69,69,FR-Pue,"{""type"":""Point"",""coordinates"":[3.5957999999999983,43.7414]}"
00000b9b6122ab8b9d44,ENF,58,58,63,63,60,61,IT-SRo,"{""type"":""Point"",""coordinates"":[10.2844,43.7279]}"
0000afd77d1e31ca12c8,ENF,53,54,58,59,56,58,IT-SR2,"{""type"":""Point"",""coordinates"":[10.291,43.732000000000006]}"
00001e30dcd1ac6dc7b0,CSH,66,67,68,68,68,68,IT-Noe,"{""type"":""Point"",""coordinates"":[8.1515,40.6061]}"
0000917f443c0f960eb1,EBF,60,61,64,65,62,63,IT-Cpz,"{""type"":""Point"",""coordinates"":[12.3761,41.7052]}"
000045d528d71df1cd39,EBF,58,58,63,63,60,62,IT-Cp2,"{""type"":""Point"",""coordinates"":[12.357299999999995,41.70429999999999]}"
000081e67206b52dd1b1,DBF,69,69,74,74,71,73,IT-CA1,"{""type"":""Point"",""coordinates"":[12.026599999999998,42.380399999999995]}"
