system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
00005822fb12f49c74d1,ENF,49,51,63,63,56,61,US-GLE,"{""type"":""Point"",""coordinates"":[-106.23989999999999,41.3665]}"
000030032be5a1ed12e6,ENF,56,57,70,67,63,67,US-NR1,"{""type"":""Point"",""coordinates"":[-105.54640000000002,40.032900000000005]}"
0000f7d98fc0c4040ac9,CRO,14,13,15,15,13,13,US-Ne1,"{""type"":""Point"",""coordinates"":[-96.4766,41.1651]}"
0000e10679afad3f4761,CRO,11,10,11,13,11,10,US-Ne2,"{""type"":""Point"",""coordinates"":[-96.47010000000002,41.16490000000001]}"
00007c0ee3f8ddbf869d,CRO,19,19,18,20,19,18,US-Ne3,"{""type"":""Point"",""coordinates"":[-96.4397,41.17969999999999]}"
0000e86f13c0ce8f2dc3,GRA,44,43,41,43,42,41,US-AR2,"{""type"":""Point"",""coordinates"":[-99.59750000000001,36.6358]}"
000080af4f8f907cc6f9,GRA,40,40,41,41,38,40,US-AR1,"{""type"":""Point"",""coordinates"":[-99.42000000000003,36.42670000000001]}"
00001dd83bec340e887b,GRA,22,20,15,14,16,14,US-LWW,"{""type"":""Point"",""coordinates"":[-97.97889999999998,34.96040000000001]}"
00000cff3a4a9ccca1c8,GRA,39,38,35,36,36,35,US-ARb,"{""type"":""Point"",""coordinates"":[-98.0402,35.5497]}"
0000fb674a3a95f35a1b,GRA,40,40,35,36,37,35,US-ARc,"{""type"":""Point"",""coordinates"":[-98.04000000000002,35.5465]}"
0000fb74a73853e47faa,CRO,28,27,25,25,25,24,US-ARM,"{""type"":""Point"",""coordinates"":[-97.48880000000001,36.6058]}"
000056102756d31d1129,GRA,27,27,29,33,26,28,US-IB2,"{""type"":""Point"",""coordinates"":[-88.24099999999999,41.8406]}"
00002835054df40641d7,ENF,64,65,65,65,66,67,CA-TP4,"{""type"":""Point"",""coordinates"":[-80.3574,42.71020000000001]}"
00003588e2f23330ad38,ENF,65,65,64,64,66,67,CA-TP3,"{""type"":""Point"",""coordinates"":[-80.3483,42.7068]}"
0000f61b86d516990066,ENF,73,73,73,73,74,73,CA-TP2,"{""type"":""Point"",""coordinates"":[-80.4588,42.7744]}"
00006d179be677a12de8,ENF,59,60,61,64,59,59,CA-TP1,"{""type"":""Point"",""coordinates"":[-80.55950000000001,42.660900000000005]}"
000059cccbb0254ff5fa,DBF,54,54,56,58,54,56,CA-TPD,"{""type"":""Point"",""coordinates"":[-80.5577,42.6353]}"
0000682e96f8077ea41e,WET,32,32,32,35,31,31,US-ORv,"{""type"":""Point"",""coordinates"":[-83.0183,40.020100000000006]}"
00000ff766f2eb768032,CRO,33,33,33,37,31,32,US-CRT,"{""type"":""Point"",""coordinates"":[-83.3471,41.6285]}"
000068f0f9c83a243109,WET,31,30,34,35,32,32,US-WPT,"{""type"":""Point"",""coordinates"":[-82.9962,41.46459999999999]}"
000002ab805c65fd35f0,DBF,44,44,46,50,43,46,US-Oho,"{""type"":""Point"",""coordinates"":[-83.8438,41.554500000000004]}"
0000618f02a3af193d09,DBF,21,21,24,26,20,21,US-MMS,"{""type"":""Point"",""coordinates"":[-86.4131,39.3232]}"
00004cf62fe23fb6ce76,GRA,12,10,11,15,10,10,US-Goo,"{""type"":""Point"",""coordinates"":[-89.8735,34.25470000000001]}"
00006652e207827bba3e,ENF,94,96,91,89,97,94,US-KS1,"{""type"":""Point"",""coordinates"":[-80.6709,28.4583]}"
0000fdbedd108973f707,CSH,94,94,93,90,94,92,US-KS2,"{""type"":""Point"",""coordinates"":[-80.6715,28.608600000000003]}"
00008d87a079823e73d8,DBF,60,59,65,64,61,64,US-Ha1,"{""type"":""Point"",""coordinates"":[-72.17150000000001,42.5378]}"
0000010a375a70902d46,EBF,35,34,30,31,32,29,GF-Guy,"{""type"":""Point"",""coordinates"":[-52.9249,5.2787999999999995]}"
00007b286f00cf543892,GRA,37,37,32,32,34,32,PA-SPs,"{""type"":""Point"",""coordinates"":[-79.6314,9.3138]}"
0000594c8a4a402bee09,DBF,40,40,36,35,36,34,PA-SPn,"{""type"":""Point"",""coordinates"":[-79.6346,9.3181]}"
00003d562295c229fd04,EBF,48,49,40,40,47,41,BR-Sa3,"{""type"":""Point"",""coordinates"":[-54.9714,-3.018]}"
000073efd6338a23d2b6,EBF,43,43,32,32,36,33,BR-Sa1,"{""type"":""Point"",""coordinates"":[-54.95889999999998,-2.8566999999999996]}"
0000aad3c8be618e2dec,ENF,43,43,39,40,42,40,AR-Vir,"{""type"":""Point"",""coordinates"":[-56.1886,-28.2395]}"
000034845f790def9e53,MF,59,60,59,59,59,58,AR-SLu,"{""type"":""Point"",""coordinates"":[-66.4598,-33.4648]}"
